hasIpAddress,hasAtSymbol,isLong,depth,hasPointInDomain,hasNumberInDomain,isShortened,urlLength,dashNbr,underlineNbr,questionMarkNbr,andNbr,pointNbr,domainLength,hasDnsRecord,webTraffic,domainAge,domainEnd,label
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,5199,0.0,0.0,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,2222,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,1000,292.17,8.83,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,1250,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1866,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,3175,340.87,14.77,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,5401,365.2,70.43,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,388,109.57,8.47,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,5306,0.0,11.33,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,3761,255.67,6.6,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,1117,206.93,4.07,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,46229,328.73,19.07,1
0,0,1,0,1,0,0,24,0,0,0,0,3,12,1,402,215.5,11.6,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1360,353.1,79.93,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,6761,121.77,0.13,1
0,0,1,0,1,0,0,25,0,0,0,0,3,13,1,66,0.0,20.23,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,1247,0.0,0.0,1
0,0,1,0,1,0,0,24,0,0,0,0,3,12,1,1407,0.0,0.0,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,2916,377.4,34.3,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,2151,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,3039,0.0,100.5,1
0,0,1,0,0,0,0,20,1,0,0,0,2,8,1,20696,48.7,5.13,1
0,0,1,0,0,0,0,28,0,0,0,0,2,16,1,14010,0.0,0.0,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,4604,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,344,0.0,0.0,1
0,0,1,0,0,0,0,30,0,0,0,0,2,18,1,2852,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,462,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,1368,206.97,9.2,1
